u_id,u_sentiment,u_stance
413062600,positive,other
274744519,mixed,other
2625045199,mixed,remain
330990433,mixed,other
561781298,mixed,other
39047986,mixed,other
359575604,mixed,other
2572861499,neutral,remain
472440708,mixed,other
2250489164,mixed,other
743901649,mixed,other
19405733,mixed,other
93494736,mixed,other
79972363,mixed,other
2430410856,mixed,other
337712938,mixed,other
169943413,mixed,other
51199582,negative,other
227449981,mixed,other
576604067,mixed,other
41366591,negative,other
251489038,negative,other
3394509993,mixed,other
2682466346,mixed,other
27019464,mixed,other
497860731,mixed,other
330628183,mixed,other
3430582660,mixed,other
3013595631,mixed,other
2394838316,neutral,other
499696436,mixed,other
943718186,mixed,other
3832681397,negative,other
1037431796,mixed,other
346720029,mixed,other
236922298,mixed,remain
280794982,mixed,other
1868412007,mixed,other
2444051599,mixed,other
3012523403,positive,leave
4580223035,negative,leave
527387944,mixed,other
17174257,negative,other
111442679,mixed,other
72577095,mixed,other
2186150534,mixed,remain
138523860,mixed,other
21417687,mixed,other
138418838,mixed,other
1734909667,mixed,other
2320728506,negative,other
81302916,mixed,other
2263911484,negative,other
169875741,mixed,other
1171473138,mixed,other
91392343,mixed,other
402945124,mixed,remain
133259087,mixed,leave
1208260291,mixed,other
22913074,positive,other
19348306,positive,other
3342994455,positive,leave
1659942950,negative,other
2828337932,negative,other
370848089,mixed,other
311612708,mixed,other
570693830,mixed,other
2322734663,neutral,remain
266505722,mixed,other
2673238363,mixed,other
3056392245,mixed,other
409499330,mixed,other
2331625888,mixed,other
2274840195,mixed,other
579880873,mixed,other
2891922856,mixed,other
267260451,mixed,other
4686994050,negative,remain
297024066,mixed,other
157765502,mixed,remain
19529200,negative,other
482066341,mixed,other
4426507168,mixed,other
20781527,mixed,other
206962580,mixed,other
18632946,mixed,other
745866908,mixed,other
2964741935,mixed,other
400189987,mixed,other
3709062616,mixed,other
4689896292,mixed,other
3415586445,mixed,other
69921786,mixed,other
431512597,mixed,other
238930175,negative,other
1300771285,positive,leave
88510293,mixed,other
382442639,mixed,other
126681958,mixed,other
269207667,mixed,other
2389336800,mixed,other
35761322,mixed,remain
571104821,mixed,other
302237917,negative,other
361455056,mixed,other
509212441,mixed,other
185732799,negative,other
4662932775,negative,other
985436882,mixed,other
2535446095,mixed,other
22677425,neutral,other
7587032,mixed,other
351439049,mixed,other
113050195,mixed,other
289148078,mixed,other
177298301,mixed,other
4439941936,mixed,other
307064758,mixed,other
3165009256,mixed,other
2255634398,mixed,other
473867269,mixed,other
2991827675,positive,other
2716028982,mixed,other
218130015,mixed,other
2471049920,mixed,other
182366037,mixed,other
1552797438,mixed,other
326212431,mixed,other
115777637,mixed,other
579879208,mixed,other
73953536,mixed,other
180861659,mixed,other
1216821044,mixed,other
607323613,mixed,remain
384004987,mixed,other
3332731738,mixed,other
243170126,negative,other
128908289,mixed,remain
299249277,mixed,other
24052713,mixed,other
2201377687,mixed,other
635335663,mixed,other
82464591,mixed,other
3005651439,mixed,other
857097865,mixed,other
2202562651,negative,other
1024041498,mixed,other
104876737,mixed,other
2417951521,negative,other
102659635,mixed,other
1471944446,mixed,other
428450289,mixed,other
22250650,mixed,other
861876666,mixed,other
702976250,mixed,other
109335745,mixed,other
295862927,mixed,other
4152648803,mixed,other
56973944,mixed,other
1116936924,mixed,other
284566108,mixed,other
1222918988,mixed,other
3290884586,mixed,other
25668050,mixed,other
20329271,mixed,other
15861698,mixed,other
21696535,mixed,other
1392639361,mixed,other
44576436,mixed,other
3297136071,negative,other
164632749,mixed,other
243985729,negative,other
2984516985,neutral,other
868628960,mixed,other
35054369,mixed,other
46903629,mixed,other
257097577,mixed,other
1374683634,mixed,other
2737090263,mixed,other
948314394,negative,other
251817122,mixed,other
303059963,mixed,other
48743135,mixed,other
1012073593,mixed,other
171287242,mixed,other
2212753740,mixed,other
1389943687,mixed,other
715941914,mixed,other
37966289,mixed,remain
713306152,mixed,other
471183778,negative,other
837933536,mixed,other
168644899,mixed,other
322093174,mixed,other
3428289335,mixed,other
263628731,mixed,other
393221287,mixed,other
183998445,mixed,other
49129140,mixed,other
67428426,mixed,other
22836487,mixed,other
593961365,mixed,other
159682411,negative,other
2809611224,mixed,other
229970770,mixed,other
20946099,negative,other
524842574,mixed,other
118736440,mixed,other
1349325348,mixed,leave
295283950,mixed,other
2614172701,mixed,other
212271184,mixed,remain
327321956,mixed,other
2759118644,mixed,other
18891281,mixed,other
2913726159,mixed,other
89740531,mixed,other
82313419,mixed,remain
1010182364,mixed,other
3130583288,positive,other
4146214853,mixed,other
3138527236,positive,other
21078035,mixed,other
2318119938,mixed,other
105819866,mixed,other
47789476,mixed,other
22481472,mixed,other
1204324428,mixed,other
449742937,mixed,other
3381716267,mixed,other
67397583,mixed,other
3372016275,mixed,other
1341405523,mixed,other
3026881975,negative,other
3294001816,mixed,other
101256555,mixed,other
364885043,mixed,other
108132519,mixed,other
1574610222,mixed,other
83263701,mixed,other
3056398006,mixed,other
627423111,mixed,other
755856890,mixed,other
388369221,mixed,other
1426400280,mixed,other
3189001238,mixed,other
227803146,mixed,other
314480344,mixed,other
2312413382,mixed,other
896927635,mixed,other
3177406031,mixed,other
864630474,mixed,other
261805462,mixed,other
773798108,mixed,other
4692006192,mixed,leave
2668877380,mixed,other
77069029,mixed,other
1074204212,mixed,other
3208482538,mixed,other
295591327,mixed,other
120262264,mixed,other
943474375,negative,other
3179168410,mixed,other
630086178,mixed,other
56670976,negative,other
823547468,mixed,other
2995947945,mixed,other
3031064549,negative,other
2301916261,mixed,other
2873611347,mixed,other
4633530137,mixed,leave
110273384,mixed,other
960727753,mixed,other
77540948,mixed,other
610735688,mixed,other
243825867,mixed,other
523085134,mixed,other
608804472,mixed,other
2824909382,mixed,other
771989142,mixed,other
21856182,mixed,other
2898409458,mixed,other
93207353,mixed,other
729260678,mixed,other
312531954,mixed,other
549513785,mixed,other
4549893035,negative,other
2863589579,mixed,other
2858558377,mixed,other
4245561142,mixed,other
239736419,mixed,other
615835757,mixed,other
6795642,mixed,other
15306413,mixed,other
1673236327,mixed,other
2525678173,mixed,other
1372385815,mixed,other
420589838,mixed,other
37904085,mixed,other
34554377,mixed,other
3374515492,mixed,other
15084853,mixed,other
1182148069,mixed,other
340825754,mixed,other
2394634249,mixed,other
163973992,mixed,other
4172796863,mixed,other
13306152,mixed,remain
555195877,mixed,other
79131906,mixed,other
150801256,mixed,other
722011406,mixed,other
444712356,mixed,other
1368158780,mixed,other
79501980,mixed,other
610402421,mixed,remain
1371525726,mixed,other
2847157805,mixed,remain
803918294,mixed,other
323771877,negative,other
3323088981,mixed,other
784843771,mixed,other
187579804,mixed,other
2471177026,positive,remain
9176452,mixed,other
2716631893,mixed,other
1372080631,mixed,other
408759579,mixed,other
218085573,negative,other
87533919,mixed,other
565777824,mixed,other
19018544,mixed,other
631865146,mixed,other
468777277,mixed,remain
1044928850,mixed,remain
714513049,mixed,other
70664947,positive,other
217016444,mixed,other
277954367,mixed,leave
211849298,mixed,other
1344025826,mixed,other
474073938,mixed,other
1446943471,positive,other
20229729,positive,other
200838452,mixed,other
2316170778,mixed,other
35760904,mixed,other
80943338,mixed,other
234334195,mixed,other
1305846481,positive,other
301967736,mixed,other
304307433,negative,other
3437219110,mixed,other
18690729,neutral,other
121884948,mixed,other
547658174,negative,other
321228233,mixed,other
346665484,mixed,other
59921420,mixed,other
133632020,mixed,other
910067492,mixed,other
4152768329,positive,other
20550442,mixed,other
29047218,mixed,other
20130977,mixed,other
3362688082,mixed,other
77196907,negative,other
93753223,mixed,other
18671865,mixed,other
98583506,mixed,other
19644086,mixed,other
2971182161,mixed,other
3227811364,mixed,other
19451664,mixed,other
937019478,mixed,other
3135565264,mixed,leave
156629753,mixed,other
2560611382,mixed,other
20232848,mixed,other
51053575,mixed,other
110478289,mixed,other
2292552590,mixed,remain
151395708,mixed,other
3926963043,positive,other
2901348107,mixed,other
24069453,negative,other
24519519,mixed,other
133385126,mixed,other
3225366755,mixed,other
24074614,mixed,other
1725621085,positive,other
1157751499,mixed,remain
3198974697,mixed,other
259218286,mixed,other
1273286568,mixed,other
466643622,mixed,other
21387734,mixed,other
1215947096,mixed,other
160148605,mixed,other
122680483,mixed,other
318489159,mixed,other
14493047,mixed,other
378131364,mixed,other
4076390121,positive,other
282556450,mixed,other
21178239,mixed,other
57057518,positive,other
249075947,mixed,other
18899855,mixed,other
461743587,mixed,remain
259640758,mixed,remain
337862963,mixed,other
19067641,neutral,other
222260717,negative,remain
3421659579,neutral,remain
3298400469,mixed,other
2365445227,negative,remain
275547016,mixed,other
1412744954,mixed,other
1851508262,mixed,other
3499131,neutral,other
1525521108,mixed,other
2616910340,mixed,other
2822505065,mixed,other
532337396,mixed,other
1166754726,mixed,other
485629322,negative,other
212273141,mixed,other
85192100,mixed,other
2313099380,positive,other
2913769696,mixed,other
633959657,mixed,other
1525446732,mixed,other
93159904,negative,leave
270381927,mixed,other
18474984,mixed,other
79233326,mixed,other
813779498,mixed,other
316327801,positive,other
406564080,mixed,other
3131272391,mixed,other
971752272,mixed,other
576278631,mixed,other
233271209,mixed,other
459126134,mixed,other
115427130,mixed,other
275878311,mixed,other
72327524,mixed,other
362149177,mixed,other
2792589217,positive,other
14761622,mixed,other
41162638,mixed,other
4309705882,mixed,other
122820406,mixed,other
441234489,mixed,other
17400044,mixed,other
272076747,negative,other
3309255700,mixed,other
27101173,mixed,other
755427162,mixed,other
384945379,mixed,other
43539789,mixed,other
3133004200,mixed,other
4183213873,negative,other
3233480933,mixed,other
3190388565,mixed,other
21308069,mixed,other
3179688406,mixed,other
3300707338,mixed,other
483353625,mixed,other
129425953,mixed,other
557368188,positive,other
263327909,mixed,other
19293731,mixed,other
139714364,mixed,other
218540006,mixed,other
54030885,mixed,other
2691401444,mixed,other
253941749,mixed,other
452371327,mixed,remain
352097960,mixed,other
361365042,mixed,other
504288726,neutral,other
68412451,negative,other
894942109,negative,other
2523826300,mixed,other
29025386,neutral,remain
1924964269,mixed,other
92591643,mixed,other
18956915,mixed,other
3369067547,positive,other
2285631986,mixed,other
3087527993,mixed,other
2993983077,mixed,other
865399938,mixed,other
1369701486,mixed,other
434525445,mixed,other
198859853,mixed,other
133787157,mixed,other
1549012669,mixed,other
52861694,mixed,other
4696509037,positive,other
1314177962,mixed,other
2164339015,mixed,other
161809644,negative,other
479567810,mixed,other
2233176111,mixed,other
2317117123,mixed,other
380875509,mixed,other
92840551,mixed,other
523054177,mixed,other
2767003853,mixed,other
402772998,mixed,other
474260605,positive,other
302591092,mixed,other
3034121849,mixed,other
172947702,mixed,other
760368066,mixed,other
2853571744,mixed,other
322825689,mixed,other
203561448,mixed,other
270912092,mixed,other
585604003,mixed,other
111699450,mixed,other
97943956,mixed,other
138614877,positive,other
1131562664,mixed,other
919351549,mixed,other
396864170,mixed,other
35627763,mixed,other
310643025,mixed,other
2823109342,mixed,other
1511547048,mixed,other
53646835,mixed,other
395868429,mixed,other
1644745165,mixed,other
351081575,mixed,other
3390728889,mixed,other
215786189,positive,other
126265937,mixed,other
14717001,negative,other
2300332196,mixed,other
37630714,mixed,other
19300315,mixed,other
2949294321,mixed,other
4198372053,mixed,other
3646459769,mixed,other
2378742140,mixed,other
338310547,mixed,other
27313493,mixed,other
544627178,mixed,other
51060936,mixed,other
3076621,mixed,other
287666448,mixed,other
574284134,positive,other
1057645927,mixed,other
505561503,mixed,other
1950075613,mixed,other
3400702817,mixed,other
2650273904,mixed,other
562418670,mixed,other
18331491,negative,other
2577144030,mixed,other
28779088,mixed,other
2507218357,negative,remain
3852809548,neutral,other
160122131,mixed,other
928120560,mixed,other
612560364,mixed,other
3717265696,mixed,other
418056061,mixed,other
490665699,mixed,other
853164306,mixed,other
525910396,mixed,remain
3871146981,mixed,other
16295181,mixed,other
42934869,mixed,other
371932423,mixed,other
28343777,mixed,other
131326812,mixed,other
79245141,mixed,other
22190373,mixed,other
258768180,mixed,other
395642139,mixed,other
33851953,mixed,other
3315887015,mixed,other
2729662144,mixed,other
3114270604,mixed,other
1344063414,mixed,other
43713337,mixed,other
2334732225,mixed,other
2738155487,mixed,other
262796796,mixed,other
845291736,mixed,other
2163617870,mixed,remain
2660269490,mixed,remain
2612190475,mixed,remain
2532883753,mixed,remain
2612833044,mixed,remain
2612843766,mixed,remain
2403269531,mixed,remain
2354515155,negative,remain
3386266937,mixed,remain
1163007295,mixed,other
356330288,negative,other
4144260257,mixed,remain
319877672,mixed,other
225476386,mixed,other
18565823,mixed,other
2345827628,mixed,other
17923971,mixed,other
2709212977,mixed,other
841485936,mixed,other
393293945,mixed,other
201009555,mixed,other
3040245804,mixed,other
2295316730,mixed,other
219345607,mixed,other
2221064987,mixed,remain
2426808851,mixed,remain
2391033525,mixed,remain
2409832846,mixed,remain
14370613,negative,other
2231898250,mixed,other
118397324,mixed,other
590867205,mixed,other
50295156,mixed,other
15281023,mixed,other
3152617751,mixed,other
99464468,mixed,other
57811281,positive,other
755844666,mixed,other
30389172,negative,other
1327843160,mixed,other
47735783,negative,other
3632508195,mixed,other
38896162,mixed,other
272107541,mixed,other
3772963528,mixed,other
57055842,mixed,other
355752178,mixed,other
3326770761,mixed,leave
65069447,mixed,other
476243412,mixed,other
20218865,mixed,other
62074058,mixed,other
3347259520,positive,leave
3292977364,mixed,other
106769185,mixed,other
989689286,mixed,other
137255482,mixed,other
3491002337,mixed,other
110556147,mixed,other
2842539305,positive,other
3166389290,mixed,other
374141509,mixed,other
4187586225,mixed,other
478471916,mixed,other
172275093,mixed,other
2727178788,mixed,other
477545755,mixed,other
1149258061,mixed,other
213835860,mixed,other
2421423498,mixed,other
70335795,mixed,other
2344222885,mixed,other
2962676963,mixed,other
61487905,mixed,remain
3042226101,mixed,other
2214054761,mixed,other
714901117,mixed,other
58141929,mixed,other
1197354972,mixed,other
2253414606,mixed,other
305158631,mixed,other
228943371,mixed,other
265250071,mixed,other
465973,mixed,other
182862510,positive,other
819350858,mixed,other
220626394,mixed,other
507092048,mixed,other
3673969577,mixed,other
3376004656,mixed,other
398565680,mixed,other
29416653,mixed,remain
61248632,mixed,other
2385475135,mixed,other
2849714072,mixed,other
3431969470,mixed,remain
276544322,mixed,other
21198205,mixed,other
18525497,mixed,other
776663796,mixed,other
3042923567,mixed,other
18503412,mixed,other
1215496040,mixed,other
22470262,mixed,other
317685710,mixed,other
2722139735,mixed,other
897710040,mixed,other
452907811,mixed,other
162473641,mixed,other
878383982,mixed,other
939317322,mixed,other
19816004,mixed,other
4240673307,mixed,other
92265930,positive,other
424338209,neutral,remain
964862089,mixed,other
316376052,mixed,other
411338477,mixed,other
46688887,mixed,other
2729347096,positive,other
314200747,negative,other
2375471990,mixed,other
859658503,mixed,remain
491683759,mixed,other
1662208874,mixed,other
114702380,mixed,other
831188048,mixed,other
3019048521,mixed,other
96099869,mixed,other
332921113,mixed,other
124313779,negative,other
17497106,mixed,other
19291128,mixed,other
21009701,mixed,other
19088758,mixed,other
335341326,mixed,other
24444965,mixed,other
295599893,mixed,other
546381549,negative,other
252667299,mixed,other
540848293,mixed,other
105727926,positive,other
108802454,neutral,other
310947580,mixed,other
201833719,mixed,other
20364375,positive,other
1932590653,mixed,other
160872213,mixed,other
15244009,mixed,other
26832496,mixed,other
535395966,mixed,remain
64125192,mixed,other
85452540,mixed,other
115139827,mixed,remain
14458548,positive,other
20319497,negative,other
1465334022,mixed,other
294149040,mixed,other
185638245,mixed,other
3400228798,mixed,other
2954566971,mixed,other
400206125,mixed,other
498029548,mixed,other
186551598,mixed,other
3627001,positive,other
1913593928,mixed,other
2576694865,negative,remain
445409224,mixed,other
1083749497,mixed,other
412973696,mixed,other
38415042,mixed,other
522778097,negative,other
20003443,mixed,other
103060087,mixed,remain
26970590,mixed,other
590855482,negative,other
3362016513,mixed,other
2822441304,negative,other
23970694,mixed,other
514668467,positive,remain
2539510376,mixed,other
2890527203,mixed,other
402370560,negative,other
2356642926,mixed,other
12399492,mixed,other
2828238915,mixed,other
405769757,mixed,other
17283773,negative,remain
914673702,mixed,other
26587507,mixed,other
209424197,mixed,other
2867939015,mixed,other
3761713697,positive,other
2269322174,mixed,other
937417056,mixed,other
185959122,mixed,other
3195143310,mixed,other
1318305619,mixed,other
156295299,mixed,other
281519746,mixed,other
2493234720,negative,other
1726252728,mixed,other
288135925,mixed,other
2438349567,neutral,other
1227902569,negative,other
41998115,mixed,other
539788424,mixed,other
45840503,mixed,other
119806126,mixed,other
2605209092,mixed,other
20156976,mixed,other
246743224,mixed,other
16032272,mixed,other
284037412,neutral,other
44958424,mixed,other
3874559301,mixed,remain
1491194724,mixed,other
4218883480,neutral,other
4076310429,mixed,other
996932378,mixed,other
3875673566,mixed,other
875403187,mixed,other
2749341780,mixed,other
536524126,mixed,other
4289499382,mixed,other
112186577,mixed,other
270493821,mixed,other
243393079,mixed,other
219218669,mixed,other
456912644,mixed,other
2201786204,mixed,other
65786722,negative,other
4666274959,positive,other
62814832,mixed,other
1480644162,negative,other
2226448964,mixed,other
401732051,mixed,other
2455216434,mixed,other
2615353712,mixed,other
2603476530,mixed,other
2937379654,mixed,other
166505377,mixed,other
17920055,mixed,other
3939035183,negative,other
4243666701,mixed,other
22140082,mixed,other
366515001,mixed,other
3740291302,negative,remain
2256850213,mixed,other
871599601,mixed,other
1104405600,mixed,other
33957999,mixed,other
3469790775,mixed,other
3029920486,mixed,other
204552368,mixed,other
212743876,mixed,other
813064693,mixed,other
98626008,mixed,other
422580719,mixed,other
198507274,mixed,other
16492455,mixed,other
230673965,mixed,other
1654543952,mixed,other
477856294,mixed,other
4459680809,mixed,other
244317966,mixed,other
335455570,mixed,other
99437169,mixed,remain
2300501604,mixed,other
475006262,mixed,other
17746386,mixed,other
297443753,mixed,other
607283292,mixed,other
269889569,mixed,other
1473829813,mixed,other
817074512,mixed,other
3307021151,mixed,other
518223933,mixed,other
4170117688,mixed,other
2320319581,mixed,other
453533469,mixed,other
4656496874,positive,other
498317449,mixed,other
114473650,mixed,other
700163778,mixed,other
3038533441,mixed,other
368340567,mixed,other
88889613,mixed,other
459136932,mixed,other
840909558,mixed,other
37659742,mixed,other
55257244,mixed,other
4698675998,mixed,other
170358646,mixed,other
3318824270,negative,other
983721164,mixed,other
2822379212,mixed,other
305471038,mixed,other
2550064813,positive,other
3176060962,mixed,other
2312135539,mixed,other
1250592126,mixed,other
41829280,mixed,other
123911261,mixed,other
42727555,mixed,other
46088331,mixed,other
135092899,mixed,other
318355178,mixed,other
26887881,mixed,other
940000238,mixed,other
363030025,mixed,other
22473015,mixed,other
1214160810,mixed,other
1214295559,mixed,other
1214281808,mixed,other
1214303671,mixed,other
1214276658,mixed,other
1214286308,mixed,other
1214299981,mixed,other
1214277151,mixed,other
1214304811,mixed,other
1214285718,mixed,other
1214251110,mixed,other
1214296190,mixed,other
1214308861,mixed,other
1214303324,mixed,other
1214292234,mixed,other
1214310980,mixed,other
1214301776,mixed,other
1214311316,mixed,other
1214318479,mixed,other
1214184738,mixed,other
1214326039,mixed,other
1214295368,mixed,other
1214306779,mixed,other
1214307996,mixed,other
1214312310,mixed,other
1214304649,mixed,other
1214307066,mixed,other
1214341057,mixed,other
1214337475,mixed,other
1214309538,mixed,other
1214344933,mixed,other
1214330474,mixed,other
321315235,mixed,other
395132433,mixed,other
317185279,mixed,other
1668066686,mixed,other
1594949365,mixed,other
232769907,mixed,other
3434587234,mixed,other
716398134,mixed,other
336041336,mixed,other
851815249,mixed,other
1278597655,mixed,other
126600280,mixed,other
1303136983,mixed,other
81173322,mixed,other
18500764,mixed,other
369760961,mixed,other
88207285,mixed,other
2799241358,mixed,other
2799334982,mixed,other
2799268752,mixed,other
3031655738,mixed,other
1590686978,mixed,other
2359028480,mixed,other
188047130,mixed,other
2978332701,mixed,other
3300653637,mixed,other
3171718974,mixed,other
1551172352,mixed,other
312997336,mixed,other
37692605,mixed,other
3231598852,mixed,other
722583252,mixed,other
3018769262,mixed,other
6092232,mixed,other
577096192,mixed,other
348606060,mixed,other
2280325974,mixed,other
438200082,mixed,other
1327034432,mixed,remain
2829120555,mixed,other
3190751720,mixed,other
2485939826,mixed,other
29656814,mixed,other
3190752230,mixed,other
1158286658,mixed,other
204366811,positive,other
224657541,mixed,other
2930747302,mixed,other
18270633,mixed,other
4703591654,mixed,other
103811289,mixed,other
84611533,mixed,other
259382116,mixed,other
1045832575,mixed,other
99706154,mixed,leave
3014887084,mixed,other
3039383177,mixed,other
30504950,mixed,other
2484615926,mixed,other
272933351,mixed,other
13063042,mixed,other
2298075552,mixed,other
2885758929,mixed,other
309709569,mixed,other
580065681,mixed,other
2316355368,mixed,other
17679030,mixed,other
448356953,mixed,other
4098436339,mixed,other
79939566,mixed,other
18762347,positive,other
3306412883,mixed,other
356730188,mixed,other
2431882250,mixed,other
2942029428,mixed,other
16247847,mixed,other
264673317,mixed,remain
209079863,mixed,other
481388071,mixed,other
69533246,mixed,other
3656559557,mixed,other
241709263,mixed,other
54311364,mixed,other
3372106918,mixed,other
586408037,mixed,other
17006017,mixed,other
393855734,mixed,other
41170844,mixed,other
222397298,mixed,other
4039145452,mixed,other
192862672,mixed,other
36732529,mixed,other
548757187,mixed,other
3987650954,mixed,other
1477093922,mixed,other
315960490,positive,other
1555801022,negative,other
700156510,mixed,other
17038090,mixed,other
2630915817,negative,leave
249194244,mixed,other
30855407,mixed,other
2787061197,mixed,other
575942111,mixed,other
40259056,mixed,other
4443472875,mixed,other
124740668,mixed,other
2199641274,mixed,other
1703057576,mixed,other
4641381507,positive,other
1901658973,positive,other
211797887,mixed,other
3417616097,mixed,other
1362984415,mixed,other
2884731632,mixed,other
138944488,mixed,other
114403588,mixed,other
402551543,mixed,other
3202107005,mixed,other
222065212,mixed,other
236502613,mixed,other
2595321643,mixed,other
3377406406,negative,other
562191835,mixed,other
2328491336,mixed,other
58387068,neutral,other
37230319,mixed,other
230218419,mixed,other
850030742,positive,other
284670305,mixed,other
1191054960,mixed,other
2320643844,positive,other
280833073,positive,other
324893227,mixed,other
2246227993,neutral,remain
2535399896,mixed,other
246459126,mixed,other
3033015357,mixed,other
3430619350,positive,other
47101183,mixed,other
17614849,mixed,other
3429983422,mixed,other
